ID,[Mg I/Fe],Sigma Mg,[K I/Fe],Sigma K,[Fe(Fe I)/H],Uncertainty Fe,,,,,,,
S1131,-0.51,0.19,1.15,-,-2.03,0.15,,,,,,,
S1004,-0.16,0.29,1.19,-,-2.08,0.14,,,,,,,
S1065,-0.73,0.14,1.07,-,-2.03,0.15,,,,,,,
S458,-0.42,0.14,1.15,-,-2.08,0.15,,,,,,,
S1673,-0.86,0.17,1.55,-,-2.18,0.11,S1673(AGBsol),-0.88,0.19,1.58,-,-2.04,0.13
,,,,,,,,,,,,,
S1814,-0.60,0.19,0.53,-,-2.19,0.14,,,,,,,
S1166,0.42,0.26,0.51,-,-2.00,0.13,,,,,,,
S406,0.36,0.22,0.46,-,-2.03,0.13,,,,,,,
S1209,0.44,0.22,0.44,-,-2.25,0.11,,,,,,,
S223,0.14,0.24,0.59,-,-2.12,0.15,,,,,,,
S810,0.24,0.15,0.51,-,-2.03,0.13,,,,,,,
S1305,0.26,0.26,0.40,-,-2.18,0.18,,,,,,,
S973,0.29,0.29,0.12,-,-2.02,0.17,,,,,,,
