ID,[Mg/Fe],Uncertainty Mg,[K/Fe],Uncertainty K,[Fe/H],Uncertainty Fe,,,,,,,
Iba11 54,0.24,0.14,0.09,0.21,-1.93,0.13,,,,,,,
Iba11 29,0.52,0.12,0.51,0.17,-2.09,0.11,,,,,,,
Iba11 83,0.48,0.13,0.63,0.17,-2.29,0.12,,,,,,,
Iba11 57,0.49,0.12,0.36,0.17,-2.06,0.11,,,,,,,
Iba11 28,-0.74,0.14,1.41,0.17,-2.09,0.11,,,,,,,
Iba11 3,0.4,0.13,0.58,0.18,-2.16,0.13,,,,,,,
Iba11 52,0.15,0.13,0.67,0.19,-2.05,0.11,,,,,,,
Iba11 21,-0.38,0.14,0.67,0.19,-2.05,0.12,,,,,,,
Iba11 44,-0.4,0.14,1.26,0.18,-2.15,0.11,,,,,,,
Iba11 159,-0.72,0.13,1.88,0.18,-2.09,0.13,,,,,,,
Iba11 36,-0.57,0.15,1.64,0.2,-2.13,0.12,,,,,,,
Iba11 112,-0.07,0.16,1.46,0.19,-1.97,0.13,,,,,,,
Iba11 164,0.5,0.13,0.58,0.2,-2.1,0.12,,,,,,,
Iba11 39,0.36,0.18,0.83,0.26,-2.17,0.16,,,,,,,
Iba11 6,0.81,0.19,1.01,0.21,-2.05,0.13,,,,,,,
Iba11 82,-0.66,0.18,1.3,0.2,-2.27,0.14,,,,,,,
Iba11 35,0.49,0.2,0.24,0.21,-2.19,0.13,,,,,,,
Iba11 51,0.32,0.18,0.87,0.22,-2.15,0.13,,,,,,,
Iba11 45,0.74,0.19,-0.14,0.21,-2.12,0.14,,,,,,,
Iba11 4,0.23,0.17,-0.03,0.22,-1.99,0.13,,,,,,,
Iba11 101,-1.02,0.19,1.55,0.23,-1.98,0.14,,,,,,,
Iba11 7,-0.33,0.21,1.4,0.23,-1.92,0.13,,,,,,,
Iba11 160,-0.52,0.24,1.16,0.25,-2.12,0.13,,,,,,,
Iba11 66,0.38,0.22,1.25,0.26,-2.2,0.13,,,,,,,
Iba11 119,0.14,0.2,0.12,0.23,-2.06,0.15,,,,,,,
Iba11 72,-1.33,0.2,1.31,0.23,-1.95,0.12,,,,,,,
Iba11 121,0.39,0.23,1.33,0.23,-2.17,0.14,,,,,,,
Iba11 32,-0.73,0.22,1.48,0.24,-1.98,0.13,,,,,,,
Iba11 43,-0.21,0.19,0.9,0.26,-2.1,0.12,,,,,,,
Iba11 148,0.74,0.26,0.29,0.25,-2.24,0.14,,,,,,,
Iba11 89,0.82,0.23,0.52,0.26,-2.3,0.14,,,,,,,
,,,,,,,Iba11 96,-,-,0.44,0.23,-2.18,0.13
Iba11 11,-0.53,0.23,1.24,0.24,-2.01,0.14,,,,,,,
Iba11 88,0.78,0.25,0.2,0.26,-2.3,0.12,,,,,,,
Iba11 69,0.61,0.19,1.5,0.24,-2.23,0.13,,,,,,,
Iba11 10,-0.73,0.21,1.91,0.24,-2,0.15,,,,,,,
Iba11 134,0.66,0.22,0.41,0.27,-2.02,0.15,,,,,,,
Iba11 74,0.4,0.24,0.8,0.26,-2.24,0.13,,,,,,,
Iba11 1,0.51,0.2,0.11,0.26,-1.83,0.13,,,,,,,
Iba11 104,0.19,0.22,1.31,0.26,-1.98,0.14,,,,,,,
Iba11 40,-1.26,0.24,1.73,0.25,-2.04,0.13,,,,,,,
Iba11 49,-0.48,0.27,1.84,0.27,-2.1,0.15,,,,,,,
Iba11 25,-0.42,0.26,1.6,0.27,-2.05,0.13,,,,,,,
,,,,,,,Iba11 61,-,-,1.08,0.27,-2.14,0.15
Iba11 158,0.77,0.27,0.82,0.26,-1.95,0.13,,,,,,,
Iba11 55,0.43,0.24,0.02,0.28,-2.12,0.13,,,,,,,
,,,,,,,Iba11 170,0.47,0.24,-,-,-1.94,0.13
Iba11 90,-0.22,0.26,1.34,0.29,-2,0.13,,,,,,,
Iba11 46,0.81,0.25,0.87,0.29,-2.15,0.13,,,,,,,
