id,cannon_teff,cannon_logg,cannon_m_h,cannon_alpha_m,cannon_teff_err,cannon_logg_err,cannon_m_h_err,cannon_alpha_m_err,cannon_red_chisq,ra,dec,snrg,codeindex
spec-55954-GAC_089N11_V1_sp12-045.fits,4858.84461052,2.56506645168,-0.302411223826,0.0980735053358,22.8404113709,0.0563236892657,0.0280951609695,0.0127197055419,0.23938740064299913,90.428357,13.389279,45.40999984741211,40578
spec-56350-GAC116N20V1_sp09-143.fits,4795.35185281,2.52826448029,-0.471791567742,0.0590217616275,22.2114367125,0.0535390644664,0.0287970124536,0.012197050015,0.3987704122752497,117.67968,20.782797,47.630001068115234,192666
spec-56550-VB052N35V1_sp03-047.fits,4908.35218297,3.33357134515,-0.265311610274,0.191363399532,10.9695564259,0.019313338374,0.0123740669263,0.00620392245462,0.702519908006135,51.209818,35.400509,143.33999633789062,243368
spec-56551-EG214710N042410V01_sp01-148.fits,4649.20919794,2.22002066608,-0.681111582369,0.261151561355,11.3233406547,0.0279155237975,0.0161846398559,0.00758850633178,0.8087415016987448,326.838543,2.666313,104.56999969482422,243875
spec-56559-HD035343N575830V01_sp07-187.fits,4459.61904691,2.04895195535,-0.458055185374,0.0137203427306,21.4114262862,0.0557045702639,0.0317088599314,0.0111159175507,0.6118854022420525,60.9182822,56.6506689,30.110000610351562,245362
spec-56559-HD035343N575830V01_sp11-238.fits,4956.39705491,2.80834800979,0.078618995769,0.0379175487774,14.9277631228,0.0367607639246,0.0172985947989,0.00739374942448,0.5624190777963225,58.732709,59.791753,57.209999084472656,245474
spec-56559-HD035343N575830V01_sp12-236.fits,4808.67786682,2.4404099767,-0.529317689449,0.164465750622,29.5229985273,0.0708168276365,0.0377463161028,0.015754202944,0.3214686333094761,59.867876,59.992449,35.63999938964844,245511
spec-56559-HD035343N575830V01_sp16-160.fits,4811.88207764,2.65695556986,0.0584704429483,0.0960810109098,14.3099604818,0.0347061133722,0.017327447065,0.00695270222811,0.6412788362001697,56.245096,59.498661,53.36000061035156,245603
spec-56580-HD220818N240924V01_sp05-157.fits,4842.29080108,3.3369265344,-0.398012674844,0.0976921313428,30.6754875882,0.0478571185929,0.0345236193246,0.0140041017429,0.23060624950374686,331.740766,23.360662,50.84000015258789,266142
spec-56582-GAC094N35V1_sp02-105.fits,4861.57706001,2.50665937229,-0.404235402206,0.160638197659,22.5996761876,0.0539890499931,0.0281990817592,0.0108580898043,0.4177742659988617,93.346441,32.928637,39.060001373291016,269830
spec-56582-VB012N41V1_sp07-208.fits,4578.24690336,2.67468078974,0.3069420412,0.102782424161,15.8297599778,0.0385082506096,0.0198313014838,0.0110758240999,0.4353726167794729,14.208278,39.289719,41.540000915527344,270998
spec-56592-HD003103N554209V01_sp15-167.fits,4205.59635291,1.48903706088,0.224936534124,0.0580696847849,10.7822399526,0.0311667145466,0.0169950088708,0.00814558395369,0.7623361099611865,6.580692,56.936722,31.90999984741211,285731
spec-56611-GAC061N46V1_sp04-096.fits,5019.67051871,2.67509716622,-0.08753540737,0.050693498751,11.1398686833,0.0279246152142,0.0132116929808,0.00482389321349,0.9840818237982955,62.072144,46.547926,92.27999877929688,302316
spec-56611-GAC108N21V3_sp13-154.fits,4840.9816201,2.53844907757,-0.332820068391,0.172422556688,10.5475402483,0.0261895740706,0.0131900186761,0.00846794229246,0.6927932551217465,110.48411,22.901489,101.91000366210938,305693
spec-56640-GAC064N42V1_sp10-184.fits,4770.09978471,2.66872883753,-0.258619865135,0.073440087477,18.7091471114,0.0436728033642,0.0234119042426,0.0105622339657,0.5121882526472253,61.645747,41.231937,45.439998626708984,339732
spec-56640-GAC064N42V2_sp15-204.fits,4967.94607145,2.8980461369,-0.167662521395,0.0368497639655,28.4087121328,0.0616416242326,0.0331084782519,0.0111771291629,0.3326922552835486,64.035951,43.584659,30.469999313354492,340434
spec-56640-VB021N40V2_sp09-215.fits,4355.33889424,2.00709016785,-0.0904393673207,0.135607791608,8.34503712319,0.0224067713623,0.0123990986499,0.00752699398638,0.931174219092423,22.662834,40.812172,71.91000366210938,342441
spec-56641-GAC084N47V1_sp16-227.fits,5087.46106926,3.11846341776,-0.350764681453,0.1130028602,16.732944039,0.0318433179128,0.0189250697596,0.00941918714479,0.7034126679728967,82.351058,49.722141,94.12000274658203,342989
spec-56667-GAC094N35V4_sp02-007.fits,4468.37931044,1.87028429816,-0.409331402019,0.110097473724,12.8937446987,0.0345883588639,0.0194216165613,0.00817821306122,0.673884415246509,93.61494,33.262314,51.209999084472656,378364
spec-56667-GAC094N35V4_sp08-007.fits,4831.09185803,2.58434096592,-0.234535692348,0.0801790697255,23.139436454,0.0568121131789,0.0286559640978,0.0117030571071,0.2720785465081369,95.369312,34.596079,39.349998474121094,378722
spec-56670-HD030004N551117V01_sp15-122.fits,4878.18819018,2.52550594428,-0.322647338596,0.091282742748,11.9744959481,0.0306245989962,0.0151356133518,0.00729918688792,0.6656563181893593,45.255958,56.011756,88.62999725341797,385563
spec-56780-HD115813N032855V01_sp08-024.fits,4633.31844623,2.33134707429,-0.928598410953,0.26250602373,15.3844404961,0.0315356044863,0.0206326797117,0.00777310183284,0.8895689626965979,180.135864,2.743947,97.79000091552734,444669
spec-56798-HD163334N102208V01_sp08-054.fits,4663.08922539,2.45528392395,-0.580951976965,0.0300522209381,24.5749941925,0.0587474229285,0.0329223353345,0.0117432005358,0.6104888915988859,249.791716,10.095938,39.099998474121094,447382
