id_1,cannon_teff_1,cannon_logg_1,cannon_m_h_1,cannon_alpha_m_1,cannon_teff_err_1,cannon_logg_err_1,cannon_m_h_err_1,cannon_alpha_m_err_1,cannon_red_chisq_1,ra_1_1,dec_1_1,snrg_1_1,codeindex_1,obsid_1,designation_1,obsdate_1,lmjd_1,mjd_1,planid_1,spid_1,fiberid_1,ra_obs_1,dec_obs_1,snru_1,snrg_2_1,snrr_1,snri_1,snrz_1,objtype_1,class_1,subclass_1,z_1,z_err_1,magtype_1,mag1_1,mag2_1,mag3_1,mag4_1,mag5_1,mag6_1,mag7_1,tsource_1,fibertype_1,tfrom_1,tcomment_1,offsets_1,offset_v_1,ra_2_1,dec_2_1,Separation_1,GAL_LONG_1,GAL_LAT_1,NA_FE_5889,NA_FE_5889_err,id_2,cannon_teff_2,cannon_logg_2,cannon_m_h_2,cannon_alpha_m_2,cannon_teff_err_2,cannon_logg_err_2,cannon_m_h_err_2,cannon_alpha_m_err_2,cannon_red_chisq_2,ra_1_2,dec_1_2,snrg_1_2,codeindex_2,obsid_2,designation_2,obsdate_2,lmjd_2,mjd_2,planid_2,spid_2,fiberid_2,ra_obs_2,dec_obs_2,snru_2,snrg_2_2,snrr_2,snri_2,snrz_2,objtype_2,class_2,subclass_2,z_2,z_err_2,magtype_2,mag1_2,mag2_2,mag3_2,mag4_2,mag5_2,mag6_2,mag7_2,tsource_2,fibertype_2,tfrom_2,tcomment_2,offsets_2,offset_v_2,ra_2_2,dec_2_2,Separation_2,id,cannon_teff,cannon_logg,cannon_m_h,cannon_alpha_m,cannon_teff_err,cannon_logg_err,cannon_m_h_err,cannon_alpha_m_err,cannon_red_chisq,ra_1,dec_1,snrg_1,codeindex,obsid,designation,obsdate,lmjd,mjd,planid,spid,fiberid,ra_obs,dec_obs,snru,snrg_2,snrr,snri,snrz,objtype,class,subclass,z,z_err,magtype,mag1,mag2,mag3,mag4,mag5,mag6,mag7,tsource,fibertype,tfrom,tcomment,offsets,offset_v,ra_2,dec_2,Separation,GAL_LONG_2,GAL_LAT_2,K_FE,K_FE_err,K_FE_kernel,K_FE_kernel_err
spec-55954-GAC_089N11_V1_sp12-045.fits,4858.844611,2.565066452,-0.302411224,0.098073505,22.84041137,0.056323689,0.028095161,0.012719706,0.239387401,90.428357,13.389279,45.40999985,40578,34412045,J060142.80+132321.4,27/1/12,55954,55953,GAC_089N11_V1,12,45,90.428357,13.389279,2.93,45.41,58.08,80.72,71.22,Star,STAR,G5,1.11E-04,4.60E-05,ugrijhk,99,99,99,99,10.59,10.03,9.88,PILOT,Obj,-,XY0556+1131_V1,0,0,90.428357,13.389279,0,,,-0.109890116,0,spec-55954-GAC_089N11_V1_sp12-045.fits,4858.844611,2.565066452,-0.302411224,0.098073505,22.84041137,0.056323689,0.028095161,0.012719706,0.239387401,90.428357,13.389279,45.40999985,40578,34412045,J060142.80+132321.4,27/1/12,55954,55953,GAC_089N11_V1,12,45,90.428357,13.389279,2.93,45.41,58.08,80.72,71.22,Star,STAR,G5,1.11E-04,4.60E-05,ugrijhk,99,99,99,99,10.59,10.03,9.88,PILOT,Obj,-,XY0556+1131_V1,0,0,90.428357,13.389279,0,spec-55954-GAC_089N11_V1_sp12-045.fits,4858.844611,2.565066452,-0.302411224,0.098073505,22.84041137,0.056323689,0.028095161,0.012719706,0.239387401,90.428357,13.389279,45.40999985,40578,34412045,J060142.80+132321.4,27/1/12,55954,55953,GAC_089N11_V1,12,45,90.428357,13.389279,2.93,45.41,58.08,80.72,71.22,Star,STAR,G5,1.11E-04,4.60E-05,ugrijhk,99,99,99,99,10.59,10.03,9.88,PILOT,Obj,-,XY0556+1131_V1,0,0,90.428357,13.389279,0,,,0.657208177,0.307456746,-49.44159295,0.046889989
spec-56350-GAC116N20V1_sp09-143.fits,4795.351853,2.52826448,-0.471791568,0.059021762,22.21143671,0.053539064,0.028797012,0.01219705,0.398770412,117.67968,20.782797,47.63000107,192666,128009143,J075043.12+204658.0,26/2/13,56350,56349,GAC116N20V1,9,143,117.67968,20.782797,9.12,47.63,61.88,67.58,51.74,Star,STAR,F9,1.75E-04,6.00E-05,ugrijhk,99,99,99,99,9.67,9.16,9.06,PILOT,Obj,0,XY0745+2018_V1,0,0,117.67968,20.782797,0,,,-0.079220019,0,spec-56350-GAC116N20V1_sp09-143.fits,4795.351853,2.52826448,-0.471791568,0.059021762,22.21143671,0.053539064,0.028797012,0.01219705,0.398770412,117.67968,20.782797,47.63000107,192666,128009143,J075043.12+204658.0,26/2/13,56350,56349,GAC116N20V1,9,143,117.67968,20.782797,9.12,47.63,61.88,67.58,51.74,Star,STAR,F9,1.75E-04,6.00E-05,ugrijhk,99,99,99,99,9.67,9.16,9.06,PILOT,Obj,0,XY0745+2018_V1,0,0,117.67968,20.782797,0,spec-56350-GAC116N20V1_sp09-143.fits,4795.351853,2.52826448,-0.471791568,0.059021762,22.21143671,0.053539064,0.028797012,0.01219705,0.398770412,117.67968,20.782797,47.63000107,192666,128009143,J075043.12+204658.0,26/2/13,56350,56349,GAC116N20V1,9,143,117.67968,20.782797,9.12,47.63,61.88,67.58,51.74,Star,STAR,F9,1.75E-04,6.00E-05,ugrijhk,99,99,99,99,9.67,9.16,9.06,PILOT,Obj,0,XY0745+2018_V1,0,0,117.67968,20.782797,0,,,1.111086214,0.053837269,24.0873827,16.2049426
spec-56550-VB052N35V1_sp03-047.fits,4908.352183,3.333571345,-0.26531161,0.1913634,10.96955643,0.019313338,0.012374067,0.006203922,0.702519908,51.209818,35.400509,143.3399963,243368,157303047,J032450.35+352401.8,14/9/13,56550,56549,VB052N35V1,3,47,51.209818,35.400509,35.43,143.34,195.93,274.23,240.26,Star,STAR,G8,3.19E-04,4.80E-05,ugrijhk,99,99,99,99,10.56,10.01,9.88,PILOT,Obj,0,VB0328+3548_V1,0,0,51.209818,35.400509,0,,,0.704241531,0.032912039,spec-56550-VB052N35V1_sp03-047.fits,4908.352183,3.333571345,-0.26531161,0.1913634,10.96955643,0.019313338,0.012374067,0.006203922,0.702519908,51.209818,35.400509,143.3399963,243368,157303047,J032450.35+352401.8,14/9/13,56550,56549,VB052N35V1,3,47,51.209818,35.400509,35.43,143.34,195.93,274.23,240.26,Star,STAR,G8,3.19E-04,4.80E-05,ugrijhk,99,99,99,99,10.56,10.01,9.88,PILOT,Obj,0,VB0328+3548_V1,0,0,51.209818,35.400509,0,spec-56550-VB052N35V1_sp03-047.fits,4908.352183,3.333571345,-0.26531161,0.1913634,10.96955643,0.019313338,0.012374067,0.006203922,0.702519908,51.209818,35.400509,143.3399963,243368,157303047,J032450.35+352401.8,14/9/13,56550,56549,VB052N35V1,3,47,51.209818,35.400509,35.43,143.34,195.93,274.23,240.26,Star,STAR,G8,3.19E-04,4.80E-05,ugrijhk,99,99,99,99,10.56,10.01,9.88,PILOT,Obj,0,VB0328+3548_V1,0,0,51.209818,35.400509,0,,,1.022125693,0.00799967,24.08736573,4.641668303
spec-56551-EG214710N042410V01_sp01-148.fits,4649.209198,2.220020666,-0.681111582,0.261151561,11.32334065,0.027915524,0.01618464,0.007588506,0.808741502,326.838543,2.666313,104.5699997,243875,57713216,J214721.25+023958.7,2/10/12,56203,56202,EG213945N020821V01,13,216,326.838543,2.666313,1.17,13.24,34.16,62.1,49.27,Star,STAR,G9,-2.13E-04,3.12E-06,gribvjh,12.49,11.44,11.43,13.07,11.79,9.91,9.24,LiuChao,Obj,-,105137618,0,0,326.838543,2.666313,0,,,0.873503668,0.024074337,spec-56551-EG214710N042410V01_sp01-148.fits,4649.209198,2.220020666,-0.681111582,0.261151561,11.32334065,0.027915524,0.01618464,0.007588506,0.808741502,326.838543,2.666313,104.5699997,243875,57713216,J214721.25+023958.7,2/10/12,56203,56202,EG213945N020821V01,13,216,326.838543,2.666313,1.17,13.24,34.16,62.1,49.27,Star,STAR,G9,-2.13E-04,3.12E-06,gribvjh,12.49,11.44,11.43,13.07,11.79,9.91,9.24,LiuChao,Obj,-,105137618,0,0,326.838543,2.666313,0,spec-56551-EG214710N042410V01_sp01-148.fits,4649.209198,2.220020666,-0.681111582,0.261151561,11.32334065,0.027915524,0.01618464,0.007588506,0.808741502,326.838543,2.666313,104.5699997,243875,57713216,J214721.25+023958.7,2/10/12,56203,56202,EG213945N020821V01,13,216,326.838543,2.666313,1.17,13.24,34.16,62.1,49.27,Star,STAR,G9,-2.13E-04,3.12E-06,gribvjh,12.49,11.44,11.43,13.07,11.79,9.91,9.24,LiuChao,Obj,-,105137618,0,0,326.838543,2.666313,0,,,1.182106028,0.049680614,-40.34541153,11.95847204
spec-56559-HD035343N575830V01_sp07-187.fits,4459.619047,2.048951955,-0.458055185,0.013720343,21.41142629,0.05570457,0.03170886,0.011115918,0.611885402,60.9182822,56.6506689,30.11000061,245362,157907187,J040340.38+563902.4,23/9/13,56559,56558,HD035343N575830V01,7,187,60.9182822,56.6506689,3.23,30.11,73.23,78.56,86.02,Star,STAR,G5,1.33E-04,4.60E-05,gri,14.56,12.91,12.35,99,99,99,99,LEGUE_LCH,Obj,UCAC4-OCS,170004390,0,0,60.9182822,56.6506689,0,,,0.848656483,0.024324669,spec-56559-HD035343N575830V01_sp07-187.fits,4459.619047,2.048951955,-0.458055185,0.013720343,21.41142629,0.05570457,0.03170886,0.011115918,0.611885402,60.9182822,56.6506689,30.11000061,245362,157907187,J040340.38+563902.4,23/9/13,56559,56558,HD035343N575830V01,7,187,60.9182822,56.6506689,3.23,30.11,73.23,78.56,86.02,Star,STAR,G5,1.33E-04,4.60E-05,gri,14.56,12.91,12.35,99,99,99,99,LEGUE_LCH,Obj,UCAC4-OCS,170004390,0,0,60.9182822,56.6506689,0,spec-56559-HD035343N575830V01_sp07-187.fits,4459.619047,2.048951955,-0.458055185,0.013720343,21.41142629,0.05570457,0.03170886,0.011115918,0.611885402,60.9182822,56.6506689,30.11000061,245362,157907187,J040340.38+563902.4,23/9/13,56559,56558,HD035343N575830V01,7,187,60.9182822,56.6506689,3.23,30.11,73.23,78.56,86.02,Star,STAR,G5,1.33E-04,4.60E-05,gri,14.56,12.91,12.35,99,99,99,99,LEGUE_LCH,Obj,UCAC4-OCS,170004390,0,0,60.9182822,56.6506689,0,,,1.106720979,0.036651489,-38.99711968,11.55892646
spec-56559-HD035343N575830V01_sp11-238.fits,4956.397055,2.80834801,0.078618996,0.037917549,14.92776312,0.036760764,0.017298595,0.007393749,0.562419078,58.732709,59.791753,57.20999908,245474,157911238,J035455.85+594730.3,23/9/13,56559,56558,HD035343N575830V01,11,238,58.732709,59.791753,4.93,57.21,108.81,144.52,154.1,Star,STAR,G5,-1.34E-04,4.10E-05,gri,13.1,11.64,10.98,99,99,99,99,LEGUE_LCH,Obj,UCAC4,172460932,0,0,58.732709,59.791753,0,,,-0.104982104,0,spec-56559-HD035343N575830V01_sp11-238.fits,4956.397055,2.80834801,0.078618996,0.037917549,14.92776312,0.036760764,0.017298595,0.007393749,0.562419078,58.732709,59.791753,57.20999908,245474,157911238,J035455.85+594730.3,23/9/13,56559,56558,HD035343N575830V01,11,238,58.732709,59.791753,4.93,57.21,108.81,144.52,154.1,Star,STAR,G5,-1.34E-04,4.10E-05,gri,13.1,11.64,10.98,99,99,99,99,LEGUE_LCH,Obj,UCAC4,172460932,0,0,58.732709,59.791753,0,spec-56559-HD035343N575830V01_sp11-238.fits,4956.397055,2.80834801,0.078618996,0.037917549,14.92776312,0.036760764,0.017298595,0.007393749,0.562419078,58.732709,59.791753,57.20999908,245474,157911238,J035455.85+594730.3,23/9/13,56559,56558,HD035343N575830V01,11,238,58.732709,59.791753,4.93,57.21,108.81,144.52,154.1,Star,STAR,G5,-1.34E-04,4.10E-05,gri,13.1,11.64,10.98,99,99,99,99,LEGUE_LCH,Obj,UCAC4,172460932,0,0,58.732709,59.791753,0,,,1.042032036,0.016878278,24.0873834,2.62E-09
spec-56559-HD035343N575830V01_sp12-236.fits,4808.677867,2.440409977,-0.529317689,0.164465751,29.52299853,0.070816828,0.037746316,0.015754203,0.321468633,59.867876,59.992449,35.63999939,245511,157912236,J035928.29+595932.8,23/9/13,56559,56558,HD035343N575830V01,12,236,59.867876,59.992449,2.75,35.64,64.11,75.09,82.23,Star,STAR,G5,-1.27E-04,6.30E-05,gri,13.72,12.44,11.94,99,99,99,99,LEGUE_LCH,Obj,UCAC4,172605124,0,0,59.867876,59.992449,0,,,-0.033625957,0,spec-56559-HD035343N575830V01_sp12-236.fits,4808.677867,2.440409977,-0.529317689,0.164465751,29.52299853,0.070816828,0.037746316,0.015754203,0.321468633,59.867876,59.992449,35.63999939,245511,157912236,J035928.29+595932.8,23/9/13,56559,56558,HD035343N575830V01,12,236,59.867876,59.992449,2.75,35.64,64.11,75.09,82.23,Star,STAR,G5,-1.27E-04,6.30E-05,gri,13.72,12.44,11.94,99,99,99,99,LEGUE_LCH,Obj,UCAC4,172605124,0,0,59.867876,59.992449,0,spec-56559-HD035343N575830V01_sp12-236.fits,4808.677867,2.440409977,-0.529317689,0.164465751,29.52299853,0.070816828,0.037746316,0.015754203,0.321468633,59.867876,59.992449,35.63999939,245511,157912236,J035928.29+595932.8,23/9/13,56559,56558,HD035343N575830V01,12,236,59.867876,59.992449,2.75,35.64,64.11,75.09,82.23,Star,STAR,G5,-1.27E-04,6.30E-05,gri,13.72,12.44,11.94,99,99,99,99,LEGUE_LCH,Obj,UCAC4,172605124,0,0,59.867876,59.992449,0,,,1.158496685,0.050841119,7.590314892,12.90172978
spec-56559-HD035343N575830V01_sp16-160.fits,4811.882078,2.65695557,0.058470443,0.096081011,14.30996048,0.034706113,0.017327447,0.006952702,0.641278836,56.245096,59.498661,53.36000061,245603,157916160,J034458.82+592955.1,23/9/13,56559,56558,HD035343N575830V01,16,160,56.245096,59.498661,3.21,53.36,112.81,135.86,141.17,Star,STAR,G5,-1.09E-04,5.00E-05,gri,13.32,12.01,11.41,99,99,99,99,LEGUE_LCH,Obj,UCAC4,172244029,0,0,56.245096,59.498661,0,,,-0.013987483,0,spec-56559-HD035343N575830V01_sp16-160.fits,4811.882078,2.65695557,0.058470443,0.096081011,14.30996048,0.034706113,0.017327447,0.006952702,0.641278836,56.245096,59.498661,53.36000061,245603,157916160,J034458.82+592955.1,23/9/13,56559,56558,HD035343N575830V01,16,160,56.245096,59.498661,3.21,53.36,112.81,135.86,141.17,Star,STAR,G5,-1.09E-04,5.00E-05,gri,13.32,12.01,11.41,99,99,99,99,LEGUE_LCH,Obj,UCAC4,172244029,0,0,56.245096,59.498661,0,spec-56559-HD035343N575830V01_sp16-160.fits,4811.882078,2.65695557,0.058470443,0.096081011,14.30996048,0.034706113,0.017327447,0.006952702,0.641278836,56.245096,59.498661,53.36000061,245603,157916160,J034458.82+592955.1,23/9/13,56559,56558,HD035343N575830V01,16,160,56.245096,59.498661,3.21,53.36,112.81,135.86,141.17,Star,STAR,G5,-1.09E-04,5.00E-05,gri,13.32,12.01,11.41,99,99,99,99,LEGUE_LCH,Obj,UCAC4,172244029,0,0,56.245096,59.498661,0,,,1.054621948,0.016958504,-5.436717916,7.256457088
spec-56580-HD220818N240924V01_sp05-157.fits,4842.290801,3.336926534,-0.398012675,0.097692131,30.67548759,0.047857119,0.034523619,0.014004102,0.23060625,331.740766,23.360662,50.84000015,266142,164205157,J220657.78+232138.3,14/10/13,56580,56579,HD220818N240924V01,5,157,331.740766,23.360662,7.71,50.84,77.68,45.86,44.42,Star,STAR,G9,-9.20E-05,5.20E-05,gri,13.63,12.85,12.65,99,99,99,99,LEGUE_LCH,Obj,UCAC4,132592159,0,0,331.740766,23.360662,0,,,-0.179697747,0,spec-56580-HD220818N240924V01_sp05-157.fits,4842.290801,3.336926534,-0.398012675,0.097692131,30.67548759,0.047857119,0.034523619,0.014004102,0.23060625,331.740766,23.360662,50.84000015,266142,164205157,J220657.78+232138.3,14/10/13,56580,56579,HD220818N240924V01,5,157,331.740766,23.360662,7.71,50.84,77.68,45.86,44.42,Star,STAR,G9,-9.20E-05,5.20E-05,gri,13.63,12.85,12.65,99,99,99,99,LEGUE_LCH,Obj,UCAC4,132592159,0,0,331.740766,23.360662,0,spec-56580-HD220818N240924V01_sp05-157.fits,4842.290801,3.336926534,-0.398012675,0.097692131,30.67548759,0.047857119,0.034523619,0.014004102,0.23060625,331.740766,23.360662,50.84000015,266142,164205157,J220657.78+232138.3,14/10/13,56580,56579,HD220818N240924V01,5,157,331.740766,23.360662,7.71,50.84,77.68,45.86,44.42,Star,STAR,G9,-9.20E-05,5.20E-05,gri,13.63,12.85,12.65,99,99,99,99,LEGUE_LCH,Obj,UCAC4,132592159,0,0,331.740766,23.360662,0,,,0.883236144,0.16310315,24.08738254,42.9867146
spec-56582-GAC094N35V1_sp02-105.fits,4861.57706,2.506659372,-0.404235402,0.160638198,22.59967619,0.05398905,0.028199082,0.01085809,0.417774266,93.346441,32.928637,39.06000137,269830,165102105,J061323.14+325543.0,16/10/13,56582,56581,GAC094N35V1,2,105,93.346441,32.928637,5.63,39.06,110.45,162.43,130.6,Star,STAR,G5,-8.60E-05,5.60E-05,ugrijhk,99,15.03,13.81,13.21,11.56,10.9,10.71,PILOT,Obj,0,XY0617+3508_V1,0,0,93.346441,32.928637,0,,,0.547684861,0.070508758,spec-56582-GAC094N35V1_sp02-105.fits,4861.57706,2.506659372,-0.404235402,0.160638198,22.59967619,0.05398905,0.028199082,0.01085809,0.417774266,93.346441,32.928637,39.06000137,269830,165102105,J061323.14+325543.0,16/10/13,56582,56581,GAC094N35V1,2,105,93.346441,32.928637,5.63,39.06,110.45,162.43,130.6,Star,STAR,G5,-8.60E-05,5.60E-05,ugrijhk,99,15.03,13.81,13.21,11.56,10.9,10.71,PILOT,Obj,0,XY0617+3508_V1,0,0,93.346441,32.928637,0,spec-56582-GAC094N35V1_sp02-105.fits,4861.57706,2.506659372,-0.404235402,0.160638198,22.59967619,0.05398905,0.028199082,0.01085809,0.417774266,93.346441,32.928637,39.06000137,269830,165102105,J061323.14+325543.0,16/10/13,56582,56581,GAC094N35V1,2,105,93.346441,32.928637,5.63,39.06,110.45,162.43,130.6,Star,STAR,G5,-8.60E-05,5.60E-05,ugrijhk,99,15.03,13.81,13.21,11.56,10.9,10.71,PILOT,Obj,0,XY0617+3508_V1,0,0,93.346441,32.928637,0,,,0.999948462,8.956459342,-0.022268194,1638.933365
