2MASSID,RA,DEC,S/N,Vr,Teff,Logg,[Fe/H],[Alpha/Fe],Chi^2,[K/Fe],[K/Fe] Error,[Na/Fe],[Na/Fe],[K/Fe] Error,[Na/Fe] Error
-,[deg],[deg],-,[km/s],[K],log10(g [cm^-2]),[dex],[dex],-,[dex],[dex],[dex],[dex],[dex],[dex]
J000908.89+124821.9,2.2871,12.8061,10,-78.55,4892,2.82,-0.12,0.33,0.19,1.08,0.26,0.86,0.23,0.16,0.12
J002619.36+565612.1,6.5807,56.9367,31,-39.57,4205,1.49,0.22,0.06,0.76,0.62,0.22,0.39,0.22,0.08,0.1
J002907.61+354701.0,7.2817,35.7836,15,-82.74,5116,3.56,0.24,0.17,0.18,1.01,0.21,-0.2,0.2,0.06,0
J003451.10+424543.0,8.7130,42.7620,15,-79.15,4460,2.1,-0.56,0.24,0.31,0.96,0.33,-0.16,0.2,0.26,0
J005649.98+391722.9,14.2083,39.2897,41,-46.77,4578,2.67,0.31,0.1,0.44,0.76,0.23,-0.02,0.2,0.11,0
J010305.95+043445.9,15.7748,4.5794,90,20.69,4646,2.72,0.1,0.05,1.17,0.95,0.21,-0.07,0.2,0.06,0
J011949.36+063411.4,19.9557,6.5699,479,-28.18,4820,2.61,-0.29,0.09,2.38,1.03,0.2,-0.04,0.2,0,0
J013039.08+404843.8,22.6628,40.8122,71,-80.34,4355,2.01,-0.09,0.14,0.93,0.92,0.21,0.46,0.21,0.05,0.05
J030101.42+560042.3,45.2560,56.0118,88,-39.27,4878,2.53,-0.32,0.09,0.67,1,8.7,-0.02,0.2,8.7,0
J032423.46+425429.6,51.0978,42.9082,23,-56.74,4649,2.63,-0.11,-0.01,0.34,1.12,0.22,0.8,0.2,0.09,0.04
J032450.35+352401.8,51.2098,35.4005,143,95.63,4908,3.33,-0.27,0.19,0.7,1.02,0.2,0.7,0.2,0.01,0.03
J033714.25+403015.1,54.3094,40.5042,34,-119.32,4674,2.33,0.32,0.22,0.86,0.95,0.23,0.64,0.22,0.12,0.08
J034458.82+592955.1,56.2451,59.4987,53,-32.68,4811,2.66,0.06,0.1,0.64,1.05,0.2,-0.01,0.2,0.02,0
J034552.01+595739.3,56.4667,59.9609,17,-48.57,4627,2.07,-0.38,0.16,0.41,1.17,0.21,0.8,0.2,0.05,0.04
J034826.25+350123.4,57.1094,35.0232,100,-47.97,4710,2.89,0.04,0.38,4.72,1.01,0.2,0,0.2,0.01,0
J035345.63+340429.3,58.4401,34.0748,15,-34.48,4830,3.23,-0.56,0.06,0.14,0.99,0.41,0.4,0.72,0.36,0.69
J035455.85+594730.3,58.7327,59.7918,57,-40.17,4956,2.81,0.08,0.04,0.56,1.04,0.2,-0.1,0.2,0.02,0
J035633.86+463749.2,59.1411,46.6303,17,-54.93,4753,2.37,-0.05,0.12,0.34,1.06,0.21,0.75,0.2,0.06,0.02
J035652.48+325937.2,59.2187,32.9937,24,-20.99,4038,1.38,-0.31,0.08,0.55,0.9,0.22,-0.14,0.2,0.1,0
J035840.66+574934.5,59.6694,57.8263,17,-56.06,4693,2.02,-0.28,0.14,0.46,1.16,0.21,0.82,0.22,0.06,0.09
J035928.29+595932.8,59.8679,59.9924,35,-38.07,4808,2.44,-0.53,0.16,0.32,1.16,0.21,-0.03,0.2,0.05,0
J040034.51+472103.8,60.1438,47.3511,18,-55.82,4708,2.39,-0.01,0.1,0.65,1.02,0.2,0.49,0.55,0.03,0.51
J040340.38+563902.4,60.9183,56.6507,30,39.87,4459,2.05,-0.46,0.01,0.61,1.11,0.2,0.85,0.2,0.04,0.02
J040634.97+411354.9,61.6457,41.2319,45,-35.38,4770,2.67,-0.26,0.07,0.51,1.05,0.2,-0.08,0.2,0.02,0
